year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif
2019,1,16,1.25,16,,0.38325,,-0.186295,
2019,1,16,2.25,16,,0.38258,,-0.179385,
2019,1,16,3.25,16,,0.38361,,-0.18328,
2019,1,16,4.25,16,,0.38287,,-0.183335,
2019,1,16,5.25,16,,0.382575,,-0.169845,
2019,1,16,6.25,16,,0.38734,,-0.176385,
2019,1,16,7.25,16,,0.38343,,-0.167435,
2019,1,16,8.25,16,,0.384145,,-0.159885,
2019,1,16,9.25,16,,0.355835,,-0.11191,
2019,1,16,10.25,16,,0.352655,,-0.0971845,
2019,1,16,11.25,16,,0.33602,,-0.01010045,0.016309089
2019,1,16,12.25,16,,0.33186,,0.025811,0.020901574
2019,1,16,13.25,16,,0.33375,,0.027857,0.024010287
2019,1,16,14.25,16,,0.339625,,0.01354305,0.005837964
2019,1,16,15.25,16,,0.33484,,0.00790355,0.013520896
2019,1,16,16.25,16,,0.339885,,-0.00323025,
2019,1,16,17.25,16,,0.371015,,-0.045689,
2019,1,16,18.25,16,,0.39299,,-0.0695865,
2019,1,16,19.25,16,,0.4075,,-0.086069,
2019,1,16,20.25,16,,0.44083,,-0.121255,
2019,1,16,21.25,16,,0.45275,,-0.13651,
2019,1,16,22.25,16,,0.445705,,-0.131509,
2019,1,16,23.25,16,,0.417225,,-0.10934,
2019,1,17,0.25,17,,0.42729,,-0.122955,
2019,1,17,1.25,17,,0.42507,,-0.145535,
2019,1,17,2.25,17,,0.40056,,-0.14915,
2019,1,17,3.25,17,,0.401665,,-0.16514,
2019,1,17,4.25,17,,0.39379,,-0.17403,
2019,1,17,5.25,17,,0.391365,,-0.187145,
2019,1,17,6.25,17,,0.372455,,-0.18266,
2019,1,17,7.25,17,,0.374865,,-0.19053,
2019,1,17,8.25,17,,0.357705,,-0.172985,
2019,1,17,9.25,17,,0.36656,,-0.180835,
2019,1,17,10.25,17,,0.347995,,-0.14415,
2019,1,17,11.25,17,,0.350525,,-0.15171,0.007972532
