         67464470 function calls (67180742 primitive calls) in 4688.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27144 1651.796    0.061 1651.796    0.061 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:155(cal_rtm_sif)
   649128    0.070    0.000    0.070    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\einsumfunc.py:989(_einsum_dispatcher)
   126672    0.069    0.000    0.069    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:549(_matrix_power_dispatcher)
    17544    0.065    0.000    0.112    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:368(calc_lapse_rate_moist)
   107457    0.055    0.000    0.790    0.000 <__array_function__ internals>:2(einsum)
   140354    0.053    0.000    0.136    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:219(_vhstack_dispatcher)
   410132    0.053    0.000    0.053    0.000 {method 'items' of 'dict' objects}
    99528    0.052    0.000    0.052    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    18096    0.048    0.000    0.078    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:100(e2phot)
   112236    0.047    0.000    0.270    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\PhotoSynth_Jen.py:200(calc_resp)
   100282    0.045    0.000    0.045    0.000 {method 'get' of 'dict' objects}
   269778    0.044    0.000    0.044    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2106(_sum_dispatcher)
   107457    0.043    0.000    0.484    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\einsumfunc.py:997(einsum)
    99528    0.043    0.000    0.043    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:472(_unary_dispatcher)
   140355    0.043    0.000    0.083    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:208(_arrays_for_stack_dispatcher)
   172394    0.039    0.000    0.039    0.000 {built-in method math.exp}
   246720    0.038    0.000    0.038    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:1149(_diff_dispatcher)
      731    0.037    0.000    2.875    0.004 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\RTM_Optical.py:398(BRF_hemi_dif_func)
    17544    0.033    0.000    0.169    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:394(calc_longwave_irradiance)
    18096    0.030    0.000    0.030    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:90(ephoton)
    17544    0.028    0.000    0.028    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\Ebal_funcs.py:65(calc_rho)
   198288    0.026    0.000    0.026    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:1054(copyto)
    17544    0.025    0.000    0.025    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\Ebal_funcs.py:90(calc_c_p)
   140353    0.022    0.000    0.022    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2612(_amax_dispatcher)
    17544    0.021    0.000    0.021    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:344(calc_c_p)
   140355    0.020    0.000    0.020    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:716(dot)
    46246    0.019    0.000    0.019    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\hydraulics.py:40(canopy_storage_capacity)
   140356    0.019    0.000    0.019    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:143(concatenate)
    82163    0.017    0.000    0.017    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:3296(_mean_dispatcher)
   140352    0.015    0.000    0.015    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:20(_atleast_1d_dispatcher)
    17544    0.015    0.000    0.015    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:304(calc_lambda)
    17544    0.014    0.000    0.014    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:280(calc_emiss_atm)
      731    0.013    0.000    0.024    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\model.py:61(phi_onset)
    86196    0.013    0.000    0.013    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\optimize\zeros.py:70(results_c)
    17544    0.011    0.000    0.011    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\TIR.py:324(calc_mixing_ratio)
    17544    0.010    0.000    0.013    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:1865(isscalar)
      731    0.009    0.000    0.015    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\model.py:73(phi_fall)
      731    0.007    0.000    0.019    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1633(getitem_mgr)
      755    0.007    0.000    0.011    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:5435(__finalize__)
      731    0.006    0.000    0.056    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:4359(_reduce)
     2930    0.006    0.000    0.013    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
        1    0.005    0.005   16.280   16.280 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\data.py:17(__init__)
